,Unnamed: 0,Title,Genre,Descrption,Descrption_Processed,Descrption_vect
206,206,Casino Royale,"Action, Adventure, Thriller","after earning 00 status and a licence to kill, secret agent james bond sets out on his first mission as 007. bond must defeat a private banker funding terrorists in a high-stakes game of poker at casino royale, montenegro.","['earning', '00', 'status', 'licence', 'kill', ',', 'secret', 'agent', 'james', 'bond', 'set', 'first', 'mission', '007.', 'bond', 'must', 'defeat', 'private', 'banker', 'funding', 'terrorist', 'high-stakes', 'game', 'poker', 'casino', 'royale', ',', 'montenegro', '.']","earning 00 status licence kill , secret agent james bond set first mission 007. bond must defeat private banker funding terrorist high-stakes game poker casino royale , montenegro ."
207,207,Rain Man,Drama,"after a selfish l.a. yuppie learns his estranged father left a fortune to an autistic-savant brother in ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.","['selfish', 'l.a.', 'yuppie', 'learns', 'estranged', 'father', 'left', 'fortune', 'autistic-savant', 'brother', 'ohio', ""n't"", 'know', 'existed', ',', 'absconds', 'brother', 'set', 'across', 'country', ',', 'hoping', 'gain', 'larger', 'inheritance', '.']","selfish l.a. yuppie learns estranged father left fortune autistic-savant brother ohio n't know existed , absconds brother set across country , hoping gain larger inheritance ."
208,208,JFK,"Drama, History, Thriller",new orleans district attorney jim garrison discovers there's more to the kennedy assassination than the official story.,"['new', 'orleans', 'district', 'attorney', 'jim', 'garrison', 'discovers', ""'s"", 'kennedy', 'assassination', 'official', 'story', '.']",new orleans district attorney jim garrison discovers 's kennedy assassination official story .
209,209,Dances with Wolves,"Adventure, Drama, Western","lieutenant john dunbar, assigned to a remote western civil war outpost, befriends wolves and native americans, making him an intolerable aberration in the military.","['lieutenant', 'john', 'dunbar', ',', 'assigned', 'remote', 'western', 'civil', 'war', 'outpost', ',', 'befriends', 'wolf', 'native', 'american', ',', 'making', 'intolerable', 'aberration', 'military', '.']","lieutenant john dunbar , assigned remote western civil war outpost , befriends wolf native american , making intolerable aberration military ."
210,210,Sin City,"Crime, Thriller","an exploration of the dark and miserable basin city and three of its residents, all of whom are caught up in violent corruption.","['exploration', 'dark', 'miserable', 'basin', 'city', 'three', 'resident', ',', 'caught', 'violent', 'corruption', '.']","exploration dark miserable basin city three resident , caught violent corruption ."
211,211,Zootopia,"Animation, Adventure, Comedy","in a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","['city', 'anthropomorphic', 'animal', ',', 'rookie', 'bunny', 'cop', 'cynical', 'con', 'artist', 'fox', 'must', 'work', 'together', 'uncover', 'conspiracy', '.']","city anthropomorphic animal , rookie bunny cop cynical con artist fox must work together uncover conspiracy ."
212,212,The Incredibles,"Animation, Action, Adventure","while trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","['trying', 'lead', 'quiet', 'suburban', 'life', ',', 'family', 'undercover', 'superheroes', 'forced', 'action', 'save', 'world', '.']","trying lead quiet suburban life , family undercover superheroes forced action save world ."
213,213,Slumdog Millionaire,"Crime, Drama, Romance","a mumbai teenager reflects on his life after being accused of cheating on the indian version of ""who wants to be a millionaire?"".","['mumbai', 'teenager', 'reflects', 'life', 'accused', 'cheating', 'indian', 'version', '``', 'want', 'millionaire', '?', '``', '.']",mumbai teenager reflects life accused cheating indian version `` want millionaire ? `` .
214,214,Scent of a Woman,Drama,"a prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.","['prep', 'school', 'student', 'needing', 'money', 'agrees', '``', 'babysit', ""''"", 'blind', 'man', ',', 'job', 'anticipated', '.']","prep school student needing money agrees `` babysit '' blind man , job anticipated ."
215,215,Kill Bill: Vol. 2,"Action, Crime, Thriller","the bride continues her quest of vengeance against her former boss and lover bill, the reclusive bouncer budd, and the treacherous, one-eyed elle.","['bride', 'continues', 'quest', 'vengeance', 'former', 'bos', 'lover', 'bill', ',', 'reclusive', 'bouncer', 'budd', ',', 'treacherous', ',', 'one-eyed', 'elle', '.']","bride continues quest vengeance former bos lover bill , reclusive bouncer budd , treacherous , one-eyed elle ."
216,216,Magnolia,Drama,"an epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the san fernando valley.","['epic', 'mosaic', 'interrelated', 'character', 'search', 'love', ',', 'forgiveness', ',', 'meaning', 'san', 'fernando', 'valley', '.']","epic mosaic interrelated character search love , forgiveness , meaning san fernando valley ."
217,217,Aladdin,"Animation, Adventure, Comedy",a kindhearted street urchin and a power-hungry grand vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"['kindhearted', 'street', 'urchin', 'power-hungry', 'grand', 'vizier', 'vie', 'magic', 'lamp', 'power', 'make', 'deepest', 'wish', 'come', 'true', '.']",kindhearted street urchin power-hungry grand vizier vie magic lamp power make deepest wish come true .
218,218,Aladdin,"Adventure, Comedy, Family",a kindhearted street urchin and a power-hungry grand vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"['kindhearted', 'street', 'urchin', 'power-hungry', 'grand', 'vizier', 'vie', 'magic', 'lamp', 'power', 'make', 'deepest', 'wish', 'come', 'true', '.']",kindhearted street urchin power-hungry grand vizier vie magic lamp power make deepest wish come true .
219,219,Groundhog Day,"Comedy, Drama, Fantasy","a narcissistic, self-centered weatherman finds himself in a time loop on groundhog day, and the day keeps repeating until he gets it right.","['narcissistic', ',', 'self-centered', 'weatherman', 'find', 'time', 'loop', 'groundhog', 'day', ',', 'day', 'keep', 'repeating', 'get', 'right', '.']","narcissistic , self-centered weatherman find time loop groundhog day , day keep repeating get right ."
220,220,The Pursuit of Happyness,"Biography, Drama",a struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"['struggling', 'salesman', 'take', 'custody', 'son', ""'s"", 'poised', 'begin', 'life-changing', 'professional', 'career', '.']",struggling salesman take custody son 's poised begin life-changing professional career .
221,221,12 Monkeys,"Mystery, Sci-Fi, Thriller","in a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","['future', 'world', 'devastated', 'disease', ',', 'convict', 'sent', 'back', 'time', 'gather', 'information', 'man-made', 'virus', 'wiped', 'human', 'population', 'planet', '.']","future world devastated disease , convict sent back time gather information man-made virus wiped human population planet ."
222,222,Young Frankenstein,Comedy,"an american grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to transylvania, where he discovers the process that reanimates a dead body.","['american', 'grandson', 'infamous', 'scientist', ',', 'struggling', 'prove', 'grandfather', 'insane', 'people', 'believe', ',', 'invited', 'transylvania', ',', 'discovers', 'process', 'reanimates', 'dead', 'body', '.']","american grandson infamous scientist , struggling prove grandfather insane people believe , invited transylvania , discovers process reanimates dead body ."
223,223,Big Fish,"Adventure, Drama, Fantasy",a frustrated son tries to determine the fact from fiction in his dying father's life.,"['frustrated', 'son', 'try', 'determine', 'fact', 'fiction', 'dying', 'father', ""'s"", 'life', '.']",frustrated son try determine fact fiction dying father 's life .
224,224,Dog Day Afternoon,"Biography, Crime, Drama","three amateur bank robbers plan to hold up a bank. a nice simple robbery: walk in, take the money, and run. unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.","['three', 'amateur', 'bank', 'robber', 'plan', 'hold', 'bank', '.', 'nice', 'simple', 'robbery', ':', 'walk', ',', 'take', 'money', ',', 'run', '.', 'unfortunately', ',', 'supposedly', 'uncomplicated', 'heist', 'suddenly', 'becomes', 'bizarre', 'nightmare', 'everything', 'could', 'go', 'wrong', '.']","three amateur bank robber plan hold bank . nice simple robbery : walk , take money , run . unfortunately , supposedly uncomplicated heist suddenly becomes bizarre nightmare everything could go wrong ."
225,225,Perfect Blue,"Animation, Crime, Drama","a pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.","['pop', 'singer', 'give', 'career', 'become', 'actress', ',', 'slowly', 'go', 'insane', 'start', 'stalked', 'obsessed', 'fan', 'seems', 'ghost', 'past', '.']","pop singer give career become actress , slowly go insane start stalked obsessed fan seems ghost past ."
226,226,The Graduate,"Comedy, Drama, Romance",a disillusioned college graduate finds himself torn between his older lover and her daughter.,"['disillusioned', 'college', 'graduate', 'find', 'torn', 'older', 'lover', 'daughter', '.']",disillusioned college graduate find torn older lover daughter .
227,227,Blood Diamond,"Adventure, Drama, Thriller","a fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","['fisherman', ',', 'smuggler', ',', 'syndicate', 'businessmen', 'match', 'wit', 'possession', 'priceless', 'diamond', '.']","fisherman , smuggler , syndicate businessmen match wit possession priceless diamond ."
228,228,The King's Speech,"Biography, Drama, History","the story of king george vi, his impromptu ascension to the throne of the british empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","['story', 'king', 'george', 'vi', ',', 'impromptu', 'ascension', 'throne', 'british', 'empire', '1936', ',', 'speech', 'therapist', 'helped', 'unsure', 'monarch', 'overcome', 'stammer', '.']","story king george vi , impromptu ascension throne british empire 1936 , speech therapist helped unsure monarch overcome stammer ."
229,229,Beauty and the Beast,"Animation, Family, Fantasy",a prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"['prince', 'cursed', 'spend', 'day', 'hideous', 'monster', 'set', 'regain', 'humanity', 'earning', 'young', 'woman', ""'s"", 'love', '.']",prince cursed spend day hideous monster set regain humanity earning young woman 's love .
230,230,Beauty and the Beast,"Animation, Family, Fantasy","a beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.","['beautiful', 'young', 'woman', 'take', 'father', ""'s"", 'place', 'prisoner', 'mysterious', 'beast', ',', 'wish', 'marry', '.']","beautiful young woman take father 's place prisoner mysterious beast , wish marry ."
231,231,Beauty and the Beast,"Drama, Fantasy, Romance",a prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"['prince', 'cursed', 'spend', 'day', 'hideous', 'monster', 'set', 'regain', 'humanity', 'earning', 'young', 'woman', ""'s"", 'love', '.']",prince cursed spend day hideous monster set regain humanity earning young woman 's love .
232,232,Beauty and the Beast,"Drama, Fantasy, Romance","a beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.","['beautiful', 'young', 'woman', 'take', 'father', ""'s"", 'place', 'prisoner', 'mysterious', 'beast', ',', 'wish', 'marry', '.']","beautiful young woman take father 's place prisoner mysterious beast , wish marry ."
233,233,Beauty and the Beast,"Adventure, Family, Fantasy",a prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"['prince', 'cursed', 'spend', 'day', 'hideous', 'monster', 'set', 'regain', 'humanity', 'earning', 'young', 'woman', ""'s"", 'love', '.']",prince cursed spend day hideous monster set regain humanity earning young woman 's love .
234,234,Beauty and the Beast,"Adventure, Family, Fantasy","a beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.","['beautiful', 'young', 'woman', 'take', 'father', ""'s"", 'place', 'prisoner', 'mysterious', 'beast', ',', 'wish', 'marry', '.']","beautiful young woman take father 's place prisoner mysterious beast , wish marry ."
235,235,Planet of the Apes,"Adventure, Sci-Fi","an astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.","['astronaut', 'crew', 'crash-lands', 'planet', 'distant', 'future', 'intelligent', 'talking', 'ape', 'dominant', 'specie', ',', 'human', 'oppressed', 'enslaved', '.']","astronaut crew crash-lands planet distant future intelligent talking ape dominant specie , human oppressed enslaved ."
236,236,Planet of the Apes,"Action, Adventure, Sci-Fi","an astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.","['astronaut', 'crew', 'crash-lands', 'planet', 'distant', 'future', 'intelligent', 'talking', 'ape', 'dominant', 'specie', ',', 'human', 'oppressed', 'enslaved', '.']","astronaut crew crash-lands planet distant future intelligent talking ape dominant specie , human oppressed enslaved ."
237,237,Do the Right Thing,"Comedy, Drama","on the hottest day of the year on a street in the bedford-stuyvesant section of brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.","['hottest', 'day', 'year', 'street', 'bedford-stuyvesant', 'section', 'brooklyn', ',', 'everyone', ""'s"", 'hate', 'bigotry', 'smolder', 'build', 'explodes', 'violence', '.']","hottest day year street bedford-stuyvesant section brooklyn , everyone 's hate bigotry smolder build explodes violence ."
238,238,Akira,"Animation, Action, Drama","a secret military project endangers neo-tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.","['secret', 'military', 'project', 'endangers', 'neo-tokyo', 'turn', 'biker', 'gang', 'member', 'rampaging', 'psychic', 'psychopath', 'stopped', 'teenager', ',', 'gang', 'biker', 'friend', 'group', 'psychic', '.']","secret military project endangers neo-tokyo turn biker gang member rampaging psychic psychopath stopped teenager , gang biker friend group psychic ."
239,239,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama","wyoming, early 1900s. butch cassidy and the sundance kid are the leaders of a band of outlaws. after a train robbery goes wrong they find themselves on the run with a posse hard on their heels. their solution - escape to bolivia.","['wyoming', ',', 'early', '1900s', '.', 'butch', 'cassidy', 'sundance', 'kid', 'leader', 'band', 'outlaw', '.', 'train', 'robbery', 'go', 'wrong', 'find', 'run', 'posse', 'hard', 'heel', '.', 'solution', '-', 'escape', 'bolivia', '.']","wyoming , early 1900s . butch cassidy sundance kid leader band outlaw . train robbery go wrong find run posse hard heel . solution - escape bolivia ."
240,240,Dogville,"Crime, Drama","a woman on the run from the mob is reluctantly accepted in a small colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.","['woman', 'run', 'mob', 'reluctantly', 'accepted', 'small', 'colorado', 'community', 'exchange', 'labor', ',', 'search', 'visit', 'town', 'find', 'support', 'price', '.']","woman run mob reluctantly accepted small colorado community exchange labor , search visit town find support price ."
241,241,Chungking Express,"Comedy, Crime, Drama","two melancholy hong kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.","['two', 'melancholy', 'hong', 'kong', 'policeman', 'fall', 'love', ':', 'one', 'mysterious', 'female', 'underworld', 'figure', ',', 'beautiful', 'ethereal', 'waitress', 'late-night', 'restaurant', 'frequents', '.']","two melancholy hong kong policeman fall love : one mysterious female underworld figure , beautiful ethereal waitress late-night restaurant frequents ."
242,242,Lion,"Biography, Drama","a five-year-old indian boy is adopted by an australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","['five-year-old', 'indian', 'boy', 'adopted', 'australian', 'couple', 'getting', 'lost', 'hundred', 'kilometer', 'home', '.', '25', 'year', 'later', ',', 'set', 'find', 'lost', 'family', '.']","five-year-old indian boy adopted australian couple getting lost hundred kilometer home . 25 year later , set find lost family ."
243,243,Mirror,"Biography, Drama","a dying man in his forties remembers his past. his childhood, his mother, the war, personal moments and things that tell of the recent history of all the russian nation.","['dying', 'man', 'forty', 'remembers', 'past', '.', 'childhood', ',', 'mother', ',', 'war', ',', 'personal', 'moment', 'thing', 'tell', 'recent', 'history', 'russian', 'nation', '.']","dying man forty remembers past . childhood , mother , war , personal moment thing tell recent history russian nation ."
244,244,The Bourne Ultimatum,"Action, Mystery, Thriller",jason bourne dodges a ruthless c.i.a. official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,"['jason', 'bourne', 'dodge', 'ruthless', 'c.i.a', '.', 'official', 'agent', 'new', 'assassination', 'program', 'searching', 'origin', 'life', 'trained', 'killer', '.']",jason bourne dodge ruthless c.i.a . official agent new assassination program searching origin life trained killer .
245,245,Annie Hall,"Comedy, Romance","alvy singer, a divorced jewish comedian, reflects on his relationship with ex-lover annie hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.","['alvy', 'singer', ',', 'divorced', 'jewish', 'comedian', ',', 'reflects', 'relationship', 'ex-lover', 'annie', 'hall', ',', 'aspiring', 'nightclub', 'singer', ',', 'ended', 'abruptly', 'like', 'previous', 'marriage', '.']","alvy singer , divorced jewish comedian , reflects relationship ex-lover annie hall , aspiring nightclub singer , ended abruptly like previous marriage ."
246,246,Life of Brian,Comedy,"born on the original christmas in the stable next door to jesus christ, brian of nazareth spends his life being mistaken for a messiah.","['born', 'original', 'christmas', 'stable', 'next', 'door', 'jesus', 'christ', ',', 'brian', 'nazareth', 'spends', 'life', 'mistaken', 'messiah', '.']","born original christmas stable next door jesus christ , brian nazareth spends life mistaken messiah ."
247,247,Rio Bravo,"Drama, Western","a small-town sheriff in the american west enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.","['small-town', 'sheriff', 'american', 'west', 'enlists', 'help', 'disabled', 'man', ',', 'drunk', ',', 'young', 'gunfighter', 'effort', 'hold', 'jail', 'brother', 'local', 'bad', 'guy', '.']","small-town sheriff american west enlists help disabled man , drunk , young gunfighter effort hold jail brother local bad guy ."
248,248,The Last Picture Show,"Drama, Romance","in 1951, a group of high schoolers come of age in a bleak, isolated, atrophied north texas town that is slowly dying, both culturally and economically.","['1951', ',', 'group', 'high', 'schoolers', 'come', 'age', 'bleak', ',', 'isolated', ',', 'atrophied', 'north', 'texas', 'town', 'slowly', 'dying', ',', 'culturally', 'economically', '.']","1951 , group high schoolers come age bleak , isolated , atrophied north texas town slowly dying , culturally economically ."
249,249,Sling Blade,Drama,"karl childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.","['karl', 'childers', ',', 'simple', 'man', 'hospitalized', 'since', 'childhood', 'murder', 'mother', 'lover', ',', 'released', 'start', 'new', 'life', 'small', 'town', '.']","karl childers , simple man hospitalized since childhood murder mother lover , released start new life small town ."
250,250,Papillon,"Biography, Crime, Drama","a french convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the south american penal colony on devil's island, which inspires the man to plot his escape.","['french', 'convict', '1930s', 'befriends', 'fellow', 'criminal', 'two', 'begin', 'serving', 'sentence', 'south', 'american', 'penal', 'colony', 'devil', ""'s"", 'island', ',', 'inspires', 'man', 'plot', 'escape', '.']","french convict 1930s befriends fellow criminal two begin serving sentence south american penal colony devil 's island , inspires man plot escape ."
251,251,Papillon,"Adventure, Biography, Crime","a french convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the south american penal colony on devil's island, which inspires the man to plot his escape.","['french', 'convict', '1930s', 'befriends', 'fellow', 'criminal', 'two', 'begin', 'serving', 'sentence', 'south', 'american', 'penal', 'colony', 'devil', ""'s"", 'island', ',', 'inspires', 'man', 'plot', 'escape', '.']","french convict 1930s befriends fellow criminal two begin serving sentence south american penal colony devil 's island , inspires man plot escape ."
252,252,Mommy,Drama,"a widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.","['widowed', 'single', 'mother', ',', 'raising', 'violent', 'son', 'alone', ',', 'find', 'new', 'hope', 'mysterious', 'neighbor', 'insert', 'household', '.']","widowed single mother , raising violent son alone , find new hope mysterious neighbor insert household ."
253,253,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",a former child star torments her paraplegic sister in their decaying hollywood mansion.,"['former', 'child', 'star', 'torment', 'paraplegic', 'sister', 'decaying', 'hollywood', 'mansion', '.']",former child star torment paraplegic sister decaying hollywood mansion .
254,254,Cinderella Man,"Biography, Drama, Romance","the story of james j. braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.","['story', 'james', 'j.', 'braddock', ',', 'supposedly', 'washed-up', 'boxer', 'came', 'back', 'challenge', 'heavyweight', 'championship', 'world', '.']","story james j. braddock , supposedly washed-up boxer came back challenge heavyweight championship world ."
255,255,Gandhi,"Biography, Drama, History",the life of the lawyer who became the famed leader of the indian revolts against the british rule through his philosophy of nonviolent protest.,"['life', 'lawyer', 'became', 'famed', 'leader', 'indian', 'revolt', 'british', 'rule', 'philosophy', 'nonviolent', 'protest', '.']",life lawyer became famed leader indian revolt british rule philosophy nonviolent protest .
256,256,The Night of the Hunter,"Crime, Drama, Film-Noir","a religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.","['religious', 'fanatic', 'marries', 'gullible', 'widow', 'whose', 'young', 'child', 'reluctant', 'tell', 'real', 'daddy', 'hid', '$', '10,000', ""'d"", 'stolen', 'robbery', '.']","religious fanatic marries gullible widow whose young child reluctant tell real daddy hid $ 10,000 'd stolen robbery ."
257,257,Nausicaä of the Valley of the Wind,"Animation, Adventure, Sci-Fi",warrior and pacifist princess nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"['warrior', 'pacifist', 'princess', 'nausicaä', 'desperately', 'struggle', 'prevent', 'two', 'warring', 'nation', 'destroying', 'dying', 'planet', '.']",warrior pacifist princess nausicaä desperately struggle prevent two warring nation destroying dying planet .
258,258,8½,Drama,a harried movie director retreats into his memories and fantasies.,"['harried', 'movie', 'director', 'retreat', 'memory', 'fantasy', '.']",harried movie director retreat memory fantasy .
259,259,Wings of Desire,"Drama, Fantasy, Romance","an angel tires of his purely ethereal life of merely overseeing the human activity of berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.","['angel', 'tire', 'purely', 'ethereal', 'life', 'merely', 'overseeing', 'human', 'activity', 'berlin', ""'s"", 'resident', ',', 'longs', 'tangible', 'joy', 'physical', 'existence', 'fall', 'love', 'mortal', '.']","angel tire purely ethereal life merely overseeing human activity berlin 's resident , longs tangible joy physical existence fall love mortal ."
260,260,The Hustler,"Drama, Sport",an up-and-coming pool player plays a long-time champion in a single high-stakes match.,"['up-and-coming', 'pool', 'player', 'play', 'long-time', 'champion', 'single', 'high-stakes', 'match', '.']",up-and-coming pool player play long-time champion single high-stakes match .
261,261,Fiddler on the Roof,"Drama, Family, Musical","in pre-revolutionary russia, a jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-semitic sentiment threatens his village.","['pre-revolutionary', 'russia', ',', 'jewish', 'peasant', 'traditional', 'value', 'contends', 'marrying', 'three', 'daughter', 'modern', 'romantic', 'ideal', 'growing', 'anti-semitic', 'sentiment', 'threatens', 'village', '.']","pre-revolutionary russia , jewish peasant traditional value contends marrying three daughter modern romantic ideal growing anti-semitic sentiment threatens village ."
262,262,The Maltese Falcon,"Crime, Film-Noir, Mystery","san francisco private detective sam spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.","['san', 'francisco', 'private', 'detective', 'sam', 'spade', 'take', 'case', 'involves', 'three', 'eccentric', 'criminal', ',', 'gorgeous', 'liar', ',', 'quest', 'priceless', 'statuette', ',', 'stake', 'rising', 'partner', 'murdered', '.']","san francisco private detective sam spade take case involves three eccentric criminal , gorgeous liar , quest priceless statuette , stake rising partner murdered ."
263,263,"Goodbye, Children","Drama, War","a french boarding school run by priests seems to be a haven from world war ii until a new student arrives. occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.","['french', 'boarding', 'school', 'run', 'priest', 'seems', 'world', 'war', 'ii', 'new', 'student', 'arrives', '.', 'occupying', 'next', 'bed', 'dormitory', 'top', 'student', 'class', ',', 'two', 'young', 'boy', 'begin', 'form', 'bond', '.']","french boarding school run priest seems world war ii new student arrives . occupying next bed dormitory top student class , two young boy begin form bond ."
264,264,The Straight Story,"Biography, Drama",an old man makes a long journey by lawnmower to mend his relationship with an ill brother.,"['old', 'man', 'make', 'long', 'journey', 'lawnmower', 'mend', 'relationship', 'ill', 'brother', '.']",old man make long journey lawnmower mend relationship ill brother .
265,265,Pink Floyd: The Wall,"Drama, Fantasy, Music",a confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"['confined', 'troubled', 'rock', 'star', 'descends', 'madness', 'midst', 'physical', 'social', 'isolation', 'everyone', '.']",confined troubled rock star descends madness midst physical social isolation everyone .
266,266,Anatomy of a Murder,"Drama, Mystery","an upstate michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. what is the truth, and will he win his case?","['upstate', 'michigan', 'lawyer', 'defends', 'soldier', 'claim', 'killed', 'innkeeper', 'due', 'temporary', 'insanity', 'victim', 'raped', 'wife', '.', 'truth', ',', 'win', 'case', '?']","upstate michigan lawyer defends soldier claim killed innkeeper due temporary insanity victim raped wife . truth , win case ?"
267,267,High Noon,"Drama, Thriller, Western","a town marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.","['town', 'marshal', ',', 'despite', 'disagreement', 'newlywed', 'bride', 'townspeople', 'around', ',', 'must', 'face', 'gang', 'deadly', 'killer', 'alone', '``', 'high', 'noon', ""''"", 'gang', 'leader', ',', 'outlaw', '``', 'sent', ""''"", 'year', 'ago', ',', 'arrives', 'noon', 'train', '.']","town marshal , despite disagreement newlywed bride townspeople around , must face gang deadly killer alone `` high noon '' gang leader , outlaw `` sent '' year ago , arrives noon train ."
268,268,Infernal Affairs,"Action, Crime, Drama","a story between a mole in the police department and an undercover cop. their objectives are the same: to find out who is the mole, and who is the cop.","['story', 'mole', 'police', 'department', 'undercover', 'cop', '.', 'objective', ':', 'find', 'mole', ',', 'cop', '.']","story mole police department undercover cop . objective : find mole , cop ."
269,269,The Legend of 1900,"Drama, Music, Romance","a baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.","['baby', 'boy', ',', 'discovered', '1900', 'ocean', 'liner', ',', 'grows', 'musical', 'prodigy', ',', 'never', 'setting', 'foot', 'land', '.']","baby boy , discovered 1900 ocean liner , grows musical prodigy , never setting foot land ."
270,270,Touch of Evil,"Crime, Drama, Film-Noir","a stark, perverse story of murder, kidnapping, and police corruption in a mexican border town.","['stark', ',', 'perverse', 'story', 'murder', ',', 'kidnapping', ',', 'police', 'corruption', 'mexican', 'border', 'town', '.']","stark , perverse story murder , kidnapping , police corruption mexican border town ."
271,271,The Tale of The Princess Kaguya,"Animation, Drama, Family","found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. the mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","['found', 'inside', 'shining', 'stalk', 'bamboo', 'old', 'bamboo', 'cutter', 'wife', ',', 'tiny', 'girl', 'grows', 'rapidly', 'exquisite', 'young', 'lady', '.', 'mysterious', 'young', 'princess', 'enthralls', 'encounter', ',', 'ultimately', 'must', 'confront', 'fate', ',', 'punishment', 'crime', '.']","found inside shining stalk bamboo old bamboo cutter wife , tiny girl grows rapidly exquisite young lady . mysterious young princess enthralls encounter , ultimately must confront fate , punishment crime ."
272,272,Secrets & Lies,"Comedy, Drama","following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in east london.","['following', 'death', 'adoptive', 'parent', ',', 'successful', 'young', 'black', 'optometrist', 'establishes', 'contact', 'biological', 'mother', '--', 'lonely', 'white', 'factory', 'worker', 'living', 'poverty', 'east', 'london', '.']","following death adoptive parent , successful young black optometrist establishes contact biological mother -- lonely white factory worker living poverty east london ."
273,273,Elite Squad,"Action, Crime, Drama","in 1997 rio de janeiro, captain nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the pope visits.","['1997', 'rio', 'de', 'janeiro', ',', 'captain', 'nascimento', 'find', 'substitute', 'position', 'trying', 'take', 'drug', 'dealer', 'criminal', 'pope', 'visit', '.']","1997 rio de janeiro , captain nascimento find substitute position trying take drug dealer criminal pope visit ."
274,274,Nobody Knows,Drama,"in a small tokyo apartment, twelve-year-old akira must care for his younger siblings after their mother leaves them and shows no sign of returning.","['small', 'tokyo', 'apartment', ',', 'twelve-year-old', 'akira', 'must', 'care', 'younger', 'sibling', 'mother', 'leaf', 'show', 'sign', 'returning', '.']","small tokyo apartment , twelve-year-old akira must care younger sibling mother leaf show sign returning ."
